task_id,task_name,start_date,end_date,crew_type,equipment_type
A1070,Install Construction Fencing,2029-10-01T09:00,2029-10-03T17:00,site_setup_crew,
A1080,Install Site Office & Welfare Units,2029-10-04T09:00,2029-10-09T17:00,site_setup_crew,
A1090,Temporary Water Installation,2029-10-04T09:00,2029-10-08T17:00,site_setup_crew,
A1100,Temporary Power Installation,2029-10-04T09:00,2029-10-09T17:00,site_setup_crew,
A1110,Tree Removal & Clearing,2029-10-04T09:00,2029-10-10T17:00,tree_removal_clearing_crew,
A1120,Bleacher Demolition,2029-10-04T09:00,2029-10-12T17:00,demolition_crew_bleachers_crew,
A1140,Crane Pad Construction,2029-10-11T09:00,2029-10-17T17:00,site_setup_crew,
A1150,Laydown Area Preparation,2029-10-11T09:00,2029-10-11T17:00,site_setup_crew,
A1170,Full Basement Excavation,2029-10-01T09:00,2029-10-09T17:00,earthwork_crew_excavation_crew,excavator
A1180,Shoring / Stabilization,2029-10-10T09:00,2029-10-16T17:00,shoring_stabilization_crew,
A1190,Subgrade Preparation,2029-10-10T09:00,2029-10-15T17:00,earthwork_crew_excavation_crew,compactor_roller
A1200,Footings - Form/Rebar/Pour,2029-11-08T09:00,2029-11-21T17:00,concrete_crew,concrete_pump
A1210,Grade Beams,2029-12-03T09:00,2029-12-11T17:00,concrete_crew,
A1220,Basement Retaining Walls,2029-11-05T09:00,2029-11-07T17:00,concrete_crew,concrete_pump
A1230,Waterproofing & Drainage,2029-10-18T09:00,2029-10-24T17:00,earthwork_crew_excavation_crew,
A1240,Basement Slab on Grade,2029-12-12T09:00,2029-12-20T17:00,concrete_crew,
A1250,Underground Utilities,2029-10-25T09:00,2029-11-02T17:00,underground_utilities_crew,
A1260,Backfill & Compaction,2029-11-08T09:00,2029-11-14T17:00,earthwork_crew_excavation_crew|exc_crew,compactor_roller
A1270,Foundational Columns,2029-11-22T09:00,2029-11-30T17:00,concrete_crew,
A1280,Rocking Walls,2029-12-21T09:00,2029-12-27T17:00,structural_crew,
A1330,Frame: Columns,2029-12-28T09:00,2030-01-04T17:00,structural_crew,mobile_crane
A1340,Floor,2030-01-15T09:00,2030-01-17T17:00,structural_crew,mobile_crane
A1350,Frame: Beams,2030-01-07T09:00,2030-01-14T17:00,,
A1420,Roof,2030-01-18T09:00,2030-01-23T17:00,structural_crew,mobile_crane
A1590,Glass Install + Glazing,2030-02-15T09:00,2030-03-08T17:00,facade_install_crew,mobile_crane
A1600,Exterior Wall Install,2030-01-24T09:00,2030-02-14T17:00,,
A1610,Mesh Install,2030-03-11T09:00,2030-04-01T17:00,facade_install_crew,
A1670,Mechanical Room Buildout,2030-03-11T09:00,2030-03-28T17:00,hvac_rough_in_crew,
A1680,Main Electrical & Riser Install,2030-03-11T09:00,2030-03-28T17:00,electrical_rough_in_crew,
A1690,MEP Rough-In,2030-03-29T09:00,2030-06-04T17:00,electrical_rough_in_crew|hvac_rough_in_crew|plumbing_fire_protection_rough_in_crew,
A1740,Interior Walls,2030-03-11T09:00,2030-04-29T17:00,interiors_crew,
A1760,Ceiling Installation,2030-04-30T09:00,2030-05-21T17:00,interiors_crew,
A1820,MEP Start-Up,2030-05-22T09:00,2030-05-30T17:00,commissioning_controls_support_crew|electrical_rough_in_crew|hvac_rough_in_crew|plumbing_fire_protection_rough_in_crew,
A1830,TAB,2030-05-31T09:00,2030-06-10T17:00,tab_team_crew,
A1840,Integrated Systems Testing,2030-06-11T09:00,2030-06-17T17:00,commissioning_controls_support_crew|electrical_rough_in_crew|hvac_rough_in_crew|plumbing_fire_protection_rough_in_crew,
A1860,Final Inspections,2030-05-22T09:00,2030-05-28T17:00,commissioning_controls_support_crew,
A1880,Hurricane Contingency Buffer,2030-06-18T09:00,2030-07-05T17:00,,
